policy_item_group_taxonomy_map_id,policy_item_group_id,taxonomy_type,term_id,is_primary,confidence,review_status,notes
PGTM-SEED-TD-002-01-01,PIG-SEED-TD-002-01,tech_domain,TD-002,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-012-RV-00001 (reviewed)
PGTM-SEED-TD-002-01-02,PIG-SEED-TD-002-01,strategy,STR-007,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-012-RV-00001 (reviewed)
PGTM-SEED-TD-003-02-01,PIG-SEED-TD-003-02,tech_domain,TD-003,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-001-00012 (auto_mapped)
PGTM-SEED-TD-003-02-02,PIG-SEED-TD-003-02,strategy,STR-002,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-001-00012 (auto_mapped)
PGTM-SEED-TD-004-03-01,PIG-SEED-TD-004-03,tech_domain,TD-004,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-001-00157 (auto_mapped)
PGTM-SEED-TD-004-03-02,PIG-SEED-TD-004-03,strategy,STR-001,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00157 (reviewed_manual)
PGTM-SEED-TD-004-03-03,PIG-SEED-TD-004-03,strategy,STR-004,0,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00157 (reviewed_manual)
PGTM-SEED-TD-004-03-04,PIG-SEED-TD-004-03,strategy,STR-008,0,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00157 (reviewed_manual)
PGTM-SEED-TD-005-04-01,PIG-SEED-TD-005-04,tech_domain,TD-005,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-001-00386 (auto_mapped)
PGTM-SEED-TD-005-04-02,PIG-SEED-TD-005-04,tech_subdomain,TSD-005-003,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-001-00386 (auto_mapped)
PGTM-SEED-TD-005-04-03,PIG-SEED-TD-005-04,strategy,STR-006,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00386 (auto_mapped)
PGTM-SEED-TD-006-05-01,PIG-SEED-TD-006-05,tech_domain,TD-006,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00259 (auto_mapped)
PGTM-SEED-TD-006-05-02,PIG-SEED-TD-006-05,tech_subdomain,TSD-006-006,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00259 (auto_mapped)
PGTM-SEED-TD-006-05-03,PIG-SEED-TD-006-05,strategy,STR-001,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00259 (reviewed_manual)
PGTM-SEED-TD-006-05-04,PIG-SEED-TD-006-05,strategy,STR-008,0,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00259 (reviewed_manual)
PGTM-SEED-TD-006-05-05,PIG-SEED-TD-006-05,strategy,STR-010,0,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00259 (reviewed_manual)
PGTM-SEED-TD-007-06-01,PIG-SEED-TD-007-06,tech_domain,TD-007,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00614 (auto_mapped)
PGTM-SEED-TD-007-06-02,PIG-SEED-TD-007-06,tech_subdomain,TSD-007-001,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00614 (auto_mapped)
PGTM-SEED-TD-007-06-03,PIG-SEED-TD-007-06,strategy,STR-004,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-001-00614 (auto_mapped)
PGTM-SEED-TD-008-07-01,PIG-SEED-TD-008-07,tech_domain,TD-008,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00106 (auto_mapped)
PGTM-SEED-TD-008-07-02,PIG-SEED-TD-008-07,tech_subdomain,TSD-008-003,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00106 (auto_mapped)
PGTM-SEED-TD-008-07-03,PIG-SEED-TD-008-07,strategy,STR-001,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00106 (reviewed_manual)
PGTM-SEED-TD-008-07-04,PIG-SEED-TD-008-07,strategy,STR-008,0,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00106 (reviewed_manual)
PGTM-SEED-TD-010-08-01,PIG-SEED-TD-010-08,tech_domain,TD-010,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-002-01155 (auto_mapped)
PGTM-SEED-TD-010-08-02,PIG-SEED-TD-010-08,tech_domain,TD-011,0,high,reviewed,seed draft from PIG-PROV-ITM-POL-002-01155 (auto_mapped)
PGTM-SEED-TD-010-08-03,PIG-SEED-TD-010-08,tech_subdomain,TSD-010-004,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-002-01155 (auto_mapped)
PGTM-SEED-TD-010-08-04,PIG-SEED-TD-010-08,tech_subdomain,TSD-011-001,0,high,reviewed,seed draft from PIG-PROV-ITM-POL-002-01155 (auto_mapped)
PGTM-SEED-TD-010-08-05,PIG-SEED-TD-010-08,strategy,STR-003,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-002-01155 (auto_mapped)
PGTM-SEED-TD-012-09-01,PIG-SEED-TD-012-09,tech_domain,TD-012,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00599 (auto_mapped)
PGTM-SEED-TD-012-09-02,PIG-SEED-TD-012-09,strategy,STR-008,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00599 (auto_mapped)
PGTM-SEED-TD-012-09-03,PIG-SEED-TD-012-09,strategy,STR-001,0,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00599 (auto_mapped)
PGTM-SEED-TD-013-10-01,PIG-SEED-TD-013-10,tech_domain,TD-013,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00351 (auto_mapped)
PGTM-SEED-TD-013-10-02,PIG-SEED-TD-013-10,strategy,STR-006,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-001-00351 (reviewed_manual)
PGTM-SEED-TD-013-10-03,PIG-SEED-TD-013-10,strategy,STR-004,0,high,reviewed,seed draft from PIG-PROV-ITM-POL-001-00351 (reviewed_manual)
PGTM-SEED-TD-014-11-01,PIG-SEED-TD-014-11,tech_domain,TD-014,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00503 (auto_mapped)
PGTM-SEED-TD-014-11-02,PIG-SEED-TD-014-11,tech_subdomain,TSD-014-003,1,medium,reviewed,seed draft from PIG-PROV-ITM-POL-001-00503 (auto_mapped)
PGTM-SEED-TD-014-11-03,PIG-SEED-TD-014-11,strategy,STR-009,1,high,reviewed,seed draft from PIG-PROV-ITM-POL-001-00503 (auto_mapped)
