paragraph_id,document_id,page_no,page_block_order,block_type,text,source_line_count,merged_block_count,normalization_actions,source_mode
PAR-DOC-POL-011-00001,DOC-POL-011,section2,1,heading,Ⅰ. 의결주문,1,1,,hwpx
PAR-DOC-POL-011-00002,DOC-POL-011,section2,2,bullet,ㅇ 「AI시대 대한민국 네트워크 전략(안)」을 별지와 같이 의결함,1,1,,hwpx
PAR-DOC-POL-011-00003,DOC-POL-011,section2,3,heading,Ⅱ. 제안이유,1,1,,hwpx
PAR-DOC-POL-011-00004,DOC-POL-011,section2,4,bullet,ㅇ 대한민국 ‘AI고속도로(국정과제20)’ 완성을 위한 필수 인프라이자 국가 전략산업인 차세대 네트워크 고도화를 위한 종합 전략 수립,1,1,,hwpx
PAR-DOC-POL-011-00005,DOC-POL-011,section2,5,heading,Ⅲ. 주요 내용,1,1,,hwpx
PAR-DOC-POL-011-00006,DOC-POL-011,section2,6,bullet,□ 추진 배경,1,1,,hwpx
PAR-DOC-POL-011-00007,DOC-POL-011,section2,7,bullet,"ㅇ AI 혁명 시대, 대규모 컴퓨팅 인프라·데이터를 상호 연결하는 네트워크는 ‘AI고속도로’ 완성을 위한 필수 인프라",1,1,,hwpx
PAR-DOC-POL-011-00008,DOC-POL-011,section2,8,bullet,ㅇ 대한민국 ‘AI고속도로’ 완성과 ‘AI G3 강국’ 도약을 위한 국가 네트워크 全 영역의 대대적 고도화와 산업 혁신 요구,1,1,,hwpx
PAR-DOC-POL-011-00009,DOC-POL-011,section2,9,bullet,□ 현황 및 문제점,1,1,,hwpx
PAR-DOC-POL-011-00010,DOC-POL-011,section2,10,bullet,ㅇ 미래 AI에이전트·피지컬AI의 발전과 확산으로 인해 이전과 차원이 다른 네트워크를 요구,1,1,,hwpx
PAR-DOC-POL-011-00011,DOC-POL-011,section2,11,bullet,"- 네트워크는 ① 대규모 트래픽 효율적 처리를 위한 성능·지능 향상, ② 피지컬AI를 초정밀·실시간 제어 가능한 컴퓨팅 인프라(엣지Edge AI*)로 진화 추세",1,1,,hwpx
PAR-DOC-POL-011-00012,DOC-POL-011,section2,12,note,"* 온디바이스 AI의 배터리·추론 성능 한계, 중앙 클라우드의 높은 비용·지연시간 한계를 보완",1,1,,hwpx
PAR-DOC-POL-011-00013,DOC-POL-011,section2,13,bullet,ㅇ 국내 통신서비스·네트워크 장비 산업은 장기간 침체 직면,1,1,,hwpx
PAR-DOC-POL-011-00014,DOC-POL-011,section2,14,note,"※ △ 통신서비스: ‘13년 이후 포화, 23조 규모 정체 △ 장비산업: 글로벌 이동통신 시장 점유율 5~6% 불과",1,1,,hwpx
PAR-DOC-POL-011-00015,DOC-POL-011,section2,15,bullet,- 글로벌 차세대 네트워크 시장은 통신 성능뿐 아니라 AI 성능으로 경쟁→ ‘AI네트워크’의 지능화 경쟁력 수준에 따른 위기와 기회 공존,1,1,,hwpx
PAR-DOC-POL-011-00016,DOC-POL-011,section2,16,bullet,□ 추진전략(~’30년),1,1,,hwpx
PAR-DOC-POL-011-00017,DOC-POL-011,section2,17,bullet,ㅇ 국가 네트워크 진화 초지능·초성능 네트워크 전면 구축,1,1,,hwpx
PAR-DOC-POL-011-00018,DOC-POL-011,section2,18,bullet,"- (성능 향상) 초고속·초저지연 6G 이동통신 상용화, 백본망 용량 4배 확대 및 광케이블 전국 보급(98%), 해저케이블·저궤도 위성통신 고도화",1,1,,hwpx
PAR-DOC-POL-011-00019,DOC-POL-011,section2,19,bullet,- (구조 혁신) ‘네트워크+AI’ 기능을 융합한 지능형 기지국(AI-RAN) 전국 산업·서비스 현장에 구축·확산을 통해 AX대전환 견인,1,1,,hwpx
PAR-DOC-POL-011-00020,DOC-POL-011,section2,20,bullet,ㅇ 산업 혁신 6G·AI네트워크 1등 국가,1,1,,hwpx
PAR-DOC-POL-011-00021,DOC-POL-011,section2,21,bullet,- (기술 개발) 한 발 앞선 6G·AI네트워크(지능화) 기술 개발로 차세대 네트워크 초격차 기술 경쟁력 확보,1,1,,hwpx
PAR-DOC-POL-011-00022,DOC-POL-011,section2,22,note,"※ △ 6G 상용화기술개발(’24~’28, 3,700억원), △ AI-RAN 글로벌선도프로젝트(‘26~‘30, 495억원), △ 네트워크 AI파운데이션모델 개발(‘26~’30, 380억원) 등",1,1,,hwpx
PAR-DOC-POL-011-00023,DOC-POL-011,section2,23,bullet,"- (산업 육성) 대규모 AI네트워크 실증(’26~’31)을 통한 수요 창출, 국내 유망기업 기술사업화·국내외 시장진출 지원",1,1,,hwpx
PAR-DOC-POL-011-00024,DOC-POL-011,section2,24,heading,Ⅳ. 기대효과 및 향후계획,1,1,,hwpx
PAR-DOC-POL-011-00025,DOC-POL-011,section2,25,bullet,□ 기대 효과,1,1,,hwpx
PAR-DOC-POL-011-00026,DOC-POL-011,section2,26,bullet,"ㅇ (국가 네트워크 진화) ’30년 6G 상용서비스 개시, AI-RAN 전국 산업·서비스 거점 500개 이상 구축·확산",1,1,,hwpx
PAR-DOC-POL-011-00027,DOC-POL-011,section2,27,bullet,"- 유·무선 백본망 용량 4배 이상 확대, 전국 가구(98%) 광케이블 보급으로 ‘모두의 AI’를 위한 기반 조성",1,1,,hwpx
PAR-DOC-POL-011-00028,DOC-POL-011,section2,28,bullet,ㅇ (산업 혁신) 6G 표준특허 점유율 30% 및 차세대 AI네트워크 글로벌 시장 점유율 20% 달성,1,1,,hwpx
PAR-DOC-POL-011-00029,DOC-POL-011,section2,29,bullet,"- 매출액 5,000억원 이상 글로벌 도약 기업 5개 육성 등 국내 산업 재도약",1,1,,hwpx
PAR-DOC-POL-011-00030,DOC-POL-011,section2,30,bullet,□ 향후계획,1,1,,hwpx
PAR-DOC-POL-011-00031,DOC-POL-011,section2,31,bullet,"ㅇ 6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해, 초격차 기술개발부터 AI-NW 융합서비스 조기 실증까지 과감하고 선제적 투자",1,1,,hwpx
PAR-DOC-POL-011-00032,DOC-POL-011,section5,1,bullet,"□ AI 혁명 시대, 네트워크는 ｢AI고속도로｣ 완성을 위한 필수 인프라",1,1,,hwpx
PAR-DOC-POL-011-00033,DOC-POL-011,section5,2,note,"※ 문명史 관점에서, 각 시대의 핵심 자원을 연결하는 ‘망’을 지배하는 자가 글로벌 패권 차지 (고대 로마의 도로망 → 산업혁명기 영국의 철도망 → 정보화 시대 미국의 인터넷망·Information Super Highway)",1,1,,hwpx
PAR-DOC-POL-011-00034,DOC-POL-011,section5,3,bullet,"□ 과거 정보화 시대 30년, 우리나라는 국가적 전략과 민·관의 선도적 투자로 구축한 세계 최고 유·무선 네트워크에 기반하여 ‘디지털 강국’으로 자리매김",1,1,,hwpx
PAR-DOC-POL-011-00035,DOC-POL-011,section5,4,bullet,"ㅇ 대한민국 미래 30년, ‘AI G3 강국’ 도약과 ‘AI고속도로’ 완성을 위한 국가 네트워크 全 영역의 대대적 고도화와 산업 혁신 요구",1,1,,hwpx
PAR-DOC-POL-011-00036,DOC-POL-011,section5,5,bullet,"ㅇ 네트워크는 ① 대규모 트래픽 효율적 처리를 위한 성능·지능 향상, ② 피지컬AI를 초정밀·실시간 제어 가능한 컴퓨팅 인프라(엣지Edge AI*)로 진화 추세",1,1,,hwpx
PAR-DOC-POL-011-00037,DOC-POL-011,section5,6,note,"* 온디바이스 AI의 배터리·추론 성능 한계, 중앙 클라우드의 높은 비용·지연시간 한계를 보완",1,1,,hwpx
PAR-DOC-POL-011-00038,DOC-POL-011,section5,7,bullet,⇒ [전략1] 세계 최고 초지능·초성능 네트워크(유·무선·위성·해저케이블) 전면 구축,1,1,,hwpx
PAR-DOC-POL-011-00039,DOC-POL-011,section5,8,bullet,□ 네트워크 산업 혁신 국내 통신서비스·네트워크 장비 산업은 장기간 침체 직면,1,1,,hwpx
PAR-DOC-POL-011-00040,DOC-POL-011,section5,9,note,"※ △ 통신서비스: ‘13년 이후 포화, 23~24조 규모 정체 △ 장비산업: 글로벌 이동통신 시장 점유율 5~6% 불과",1,1,,hwpx
PAR-DOC-POL-011-00041,DOC-POL-011,section5,10,bullet,ㅇ 글로벌 차세대 네트워크 시장은 통신 성능뿐 아니라 AI 성능으로 경쟁→ ‘AI네트워크’의 지능화 경쟁력 수준에 따른 위기와 기회 공존,1,1,,hwpx
PAR-DOC-POL-011-00042,DOC-POL-011,section5,11,bullet,"⇒ [전략2] AI중심 대전환을 발판삼아 글로벌 통신·네트워크 거대 시장 선점, 新성장·도약 기회 창출을 위한 6G·AI네트워크 산업 전방위 지원",1,1,,hwpx
PAR-DOC-POL-011-00043,DOC-POL-011,section5,12,paragraph,국가 네트워크 진화: 세계 최고 초지능·초성능 네트워크 전면 구축,1,1,,hwpx
PAR-DOC-POL-011-00044,DOC-POL-011,section5,13,bullet,"ㅇ 이동통신 5G 단독모드(SA) 확산을 통해 5G서비스 완성·AI기술 선제 적용(’26), 6G 시연(Pre-6G, ’26)·시범서비스(LA올림픽 연계, ’28)를 거쳐 ’30년경 상용화",1,1,,hwpx
PAR-DOC-POL-011-00045,DOC-POL-011,section5,14,bullet,- 이동통신-컴퓨팅 기능을 융합하여 피지컬AI의 초정밀·실시간 제어 및 네트워크 효율 대폭 향상이 가능한 지능형 기지국(AI-RAN) 구축·확산,1,1,,hwpx
PAR-DOC-POL-011-00046,DOC-POL-011,section5,15,paragraph,"∙AI-on-RAN 산업·서비스 현장 중심 시범구축(’26~’28), 6G 기반 고도화·전면 확산*(’30)",1,1,,hwpx
PAR-DOC-POL-011-00047,DOC-POL-011,section5,16,note,* 500개 이상 구축: 통신사 집중국사 등 상용망(200개) + 버티컬 산업·서비스 자체 특화망(300개),1,1,,hwpx
PAR-DOC-POL-011-00048,DOC-POL-011,section5,17,paragraph,"∙AI-for-RAN 국산 AI모델 활용, 실시간 기지국 성능 최적화 및 저전력화(’27, 30% 이상)",1,1,,hwpx
PAR-DOC-POL-011-00049,DOC-POL-011,section5,18,bullet,"ㅇ 유선통신 AIDC 학습 성능을 결정하는 네트워크 장비(GPU·서버간 연결) 국산화(~’30), ‘국가 통신망 대동맥’ 백본망 용량 4배 이상 확대(38Tbps → ’30년 160Tbps)",1,1,,hwpx
PAR-DOC-POL-011-00050,DOC-POL-011,section5,19,bullet,"- 실수요가 존재하는 全 가구·건물 광전환 달성(91 → 98%, ~’30) 및 10기가급 인터넷 확산을 통해 전 국민의 고품질 AI서비스 활용 기반 조성",1,1,,hwpx
PAR-DOC-POL-011-00051,DOC-POL-011,section5,20,bullet,"ㅇ 국제망 저궤도 위성통신 핵심기술 확보, 부품·장비 글로벌 공급망 진출 촉진(~’30)",1,1,,hwpx
PAR-DOC-POL-011-00052,DOC-POL-011,section5,21,bullet,- 해저케이블 용량확대(120→220Tbps 이상)·육양국 다변화(5개 거점→7개)로 안정성 강화(’30),1,1,,hwpx
PAR-DOC-POL-011-00053,DOC-POL-011,section5,22,paragraph,산업 경쟁력 강화: 6G·AI 네트워크 산업 1등 국가 달성,1,1,,hwpx
PAR-DOC-POL-011-00054,DOC-POL-011,section5,23,bullet,ㅇ 기술개발 차세대 6G 이동통신 상용화기술 개발(~’28)·표준 선점과 함께 한 발 앞선 고효율·저전력 AI네트워크 기술 개발(’26~’30) 병행,1,1,,hwpx
PAR-DOC-POL-011-00055,DOC-POL-011,section5,24,bullet,ㅇ 수요창출 5대 핵심 분야(의료·교육·제조·안전·미디어) AI대전환을 위한 첨단 AI네트워크 기반 대규모 선도 실증사업 추진(’26~’31),1,1,,hwpx
PAR-DOC-POL-011-00056,DOC-POL-011,section5,25,bullet,"- 공공망 선제적 고도화로 민간 확산 및 AI 공공서비스 제공 기반 마련, 노후·공동주택 光전환 및 도서·산간 지역 기가인터넷 인프라 구축 지원",1,1,,hwpx
PAR-DOC-POL-011-00057,DOC-POL-011,section5,26,note,"※ (공공) 전국 초·중·고 10G급 인터넷 회선 구축, 재난안전통신망(PS-LTE)·국방망 성능 향상",1,1,,hwpx
PAR-DOC-POL-011-00058,DOC-POL-011,section5,27,paragraph,(민간) 도서·산간지역에 다양한 기술방식을 활용한 기가급 인터넷망 구축 촉진,1,1,,hwpx
PAR-DOC-POL-011-00059,DOC-POL-011,section5,28,bullet,"ㅇ 제도개선차세대 네트워크 투자 세제혜택 강화(’26~) 및 주파수 재할당·5G/6G 신규 주파수 공급(’26~’29), 6G 주파수전략 수립(’28)으로 망 투자 유인 제고",1,1,,hwpx
PAR-DOC-POL-011-00060,DOC-POL-011,section5,29,bullet,- 고효율·친환경 기지국 인증제 도입(’26) 검토 등 저전력 통신망 구축 독려,1,1,,hwpx
PAR-DOC-POL-011-00061,DOC-POL-011,section5,30,bullet,"ㅇ 기반강화국내 유망 기업의 차세대 네트워크 기술사업화*(’26~), 한-미 협력 기반 동남아 오픈랜 확산사업(’27~) 등 국내·외 시장진출 적극 지원",1,1,,hwpx
PAR-DOC-POL-011-00062,DOC-POL-011,section5,31,note,"※ △ 부품(광소자·칩 등), △ 장비(AIDC 네트워크 등), △ 네트워크 SW 상용화·시장 진출 전방위 지원",1,1,,hwpx
PAR-DOC-POL-011-00063,DOC-POL-011,section5,32,bullet,- AI+네트워크 융합인재 양성 및 표준화 전략센터·전문인력 확보(~’30),1,1,,hwpx
PAR-DOC-POL-011-00064,DOC-POL-011,section5,33,bullet,"□ 6G·AI네트워크 선도국 도약 및 글로벌 통신·네트워크 거대 시장 석권을 위해, 초격차 기술개발부터 AI-NW 융합서비스 조기 실증까지 과감하고 선제적 투자",1,1,,hwpx
PAR-DOC-POL-011-00065,DOC-POL-011,section5,34,note,"※ ’26년 AI네트워크 예산 2,894억원(‘25년 比 454억원↑), ‘30년까지 투자 규모 지속 확대 추진",1,1,,hwpx
